CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Number of Sites Reporting Min-Max,Number of Sites Reporting Z-score,Year,Month,Day,Day of Week
190,190,2022-03-31,42,0,4,06-031-0004,3,0.4000000000000001,0.39421700819886785,2022,3,31,3
225,225,2022-05-01,31,0,2,26-077-0008,1,0.0,-0.7549132547660471,2022,5,1,6
248,248,2022-01-26,31,0,1,26-065-0018,1,0.0,-0.7549132547660471,2022,1,26,2
138,142,2022-04-08,56,2,4,48-141-0044,6,1.0000000000000002,2.1179124026462404,2022,4,8,4
30,30,2022-01-10,35,0,2,24-005-3001,5,0.8,1.5433472711637828,2022,1,10,0
202,202,2022-02-26,45,0,4,12-017-0006,1,0.0,-0.7549132547660471,2022,2,26,5
182,182,2022-02-25,20,0,4,37-081-0013,1,0.0,-0.7549132547660471,2022,2,25,4
186,186,2022-09-21,66,2,4,28-047-0008,3,0.4000000000000001,0.39421700819886785,2022,9,21,2
80,80,2022-05-25,26,0,2,37-159-0021,6,1.0000000000000002,2.1179124026462404,2022,5,25,2
459,459,2022-06-25,39,0,4,13-185-0003,1,0.0,-0.7549132547660471,2022,6,25,5
400,405,2022-01-28,44,0,6,35-049-0021,1,0.0,-0.7549132547660471,2022,1,28,4
352,354,2022-01-18,38,0,2,12-111-0013,2,0.2,-0.18034812328358962,2022,1,18,1
431,389,2022-03-19,43,0,2,29-003-0001,2,0.2,-0.18034812328358962,2022,3,19,5
168,168,2022-03-17,41,0,2,12-001-3012,1,0.0,-0.7549132547660471,2022,3,17,3
439,439,2022-06-27,38,0,2,12-073-0012,2,0.2,-0.18034812328358962,2022,6,27,0
487,487,2022-09-03,36,0,2,39-027-1002,1,0.0,-0.7549132547660471,2022,9,3,5
41,41,2022-06-17,11,0,4,41-017-0120,2,0.2,-0.18034812328358962,2022,6,17,4
225,225,2022-01-16,58,2,4,26-077-0008,1,0.0,-0.7549132547660471,2022,1,16,6
160,160,2022-06-27,40,0,2,55-039-0006,1,0.0,-0.7549132547660471,2022,6,27,0
340,340,2022-05-06,39,0,2,12-113-0015,3,0.4000000000000001,0.39421700819886785,2022,5,6,4
229,229,2022-03-01,40,0,6,33-005-0007,1,0.0,-0.7549132547660471,2022,3,1,1
104,104,2022-09-19,35,0,4,36-101-0003,1,0.0,-0.7549132547660471,2022,9,19,0
218,218,2022-08-06,35,0,2,55-105-0030,1,0.0,-0.7549132547660471,2022,8,6,5
43,43,2022-01-12,43,0,2,33-007-4001,1,0.0,-0.7549132547660471,2022,1,12,2
355,355,2022-05-23,23,0,4,39-145-0015,6,1.0000000000000002,2.1179124026462404,2022,5,23,0
200,200,2022-06-18,59,2,4,35-025-0008,1,0.0,-0.7549132547660471,2022,6,18,5
188,188,2022-06-04,13,0,4,16-013-0004,1,0.0,-0.7549132547660471,2022,6,4,5
7,7,2022-03-06,54,2,4,36-001-0005,3,0.4000000000000001,0.39421700819886785,2022,3,6,6
135,135,2022-05-16,51,2,2,17-049-1001,1,0.0,-0.7549132547660471,2022,5,16,0
343,343,2022-04-01,71,2,2,04-013-4010,6,1.0000000000000002,2.1179124026462404,2022,4,1,4
415,420,2022-02-11,71,2,2,22-017-0001,2,0.2,-0.18034812328358962,2022,2,11,4
356,356,2022-04-09,47,0,2,04-025-8034,1,0.0,-0.7549132547660471,2022,4,9,5
9,9,2022-01-26,17,0,4,22-079-0002,1,0.0,-0.7549132547660471,2022,1,26,2
144,144,2022-01-01,39,0,2,35-039-0026,1,0.0,-0.7549132547660471,2022,1,1,5
75,75,2022-03-20,12,0,4,53-041-0004,1,0.0,-0.7549132547660471,2022,3,20,6
47,47,2022-07-04,58,2,4,38-015-0003,2,0.2,-0.18034812328358962,2022,7,4,0
346,346,2022-03-03,37,0,2,25-003-0008,2,0.2,-0.18034812328358962,2022,3,3,3
183,183,2022-08-22,28,0,2,37-147-0006,1,0.0,-0.7549132547660471,2022,8,22,0
422,427,2022-05-23,40,0,2,18-141-0015,4,0.6000000000000001,0.9687821396813253,2022,5,23,0
3,3,2022-01-17,43,0,4,26-091-0007,1,0.0,-0.7549132547660471,2022,1,17,0
128,128,2022-05-12,36,0,2,27-017-7417,4,0.6000000000000001,0.9687821396813253,2022,5,12,3
207,207,2022-03-10,41,0,2,01-089-0014,3,0.4000000000000001,0.39421700819886785,2022,3,10,3
485,485,2022-01-15,28,0,6,42-081-0419,1,0.0,-0.7549132547660471,2022,1,15,5
110,110,2022-07-10,93,2,2,48-251-0003,6,1.0000000000000002,2.1179124026462404,2022,7,10,6
93,93,2022-04-07,30,0,2,19-045-0021,2,0.2,-0.18034812328358962,2022,4,7,3
455,455,2022-03-25,25,0,4,16-083-0007,1,0.0,-0.7549132547660471,2022,3,25,4
